ID,beaching_flag,time_start,time_end,drifter_id,latitude_start,latitude_end,longitude_start,longitude_end,velocity_east,velocity_north
8,False,2014-10-30 04:00:00,2014-10-31 04:00:00,131974,43.38007,43.36908,7.03984,6.95074,-0.045,-0.0016
9,False,2014-10-31 04:00:00,2014-11-01 04:00:00,131974,43.36908,43.37248,6.95074,6.86103,-0.0764,0.0203
10,False,2014-11-01 04:00:00,2014-11-02 04:00:00,131974,43.37248,43.28349,6.86103,6.80107,-0.0399,-0.0687
11,False,2014-11-02 04:00:00,2014-11-03 04:00:00,131974,43.28349,43.13515,6.80107,6.73453,-0.0609,-0.2339
12,False,2014-11-03 04:00:00,2014-11-04 04:00:00,131974,43.13515,43.02929,6.73453,6.56703,-0.1481,-0.2094
13,False,2014-11-04 04:00:00,2014-11-05 04:00:00,131974,43.02929,42.9623,6.56703,6.46997,-0.1232,-0.0873
69,False,2014-11-04 20:00:00,2014-11-05 20:00:00,300234011273030,-35.36365,-35.38136,136.19768,136.1795,-0.1009,-0.0545
70,False,2014-11-07 20:00:00,2014-11-08 20:00:00,300234011273030,-35.39856,-35.35377,136.14227,136.17484,-0.1063,-0.0011
47,False,2014-11-08 16:00:00,2014-11-09 16:00:00,300234011026610,68.16861,68.25453,-29.119,-29.39112,0.0779,0.4535
71,False,2014-11-08 20:00:00,2014-11-09 20:00:00,300234011273030,-35.35377,-35.28835,136.17484,136.1087,-0.0357,-0.0447
497,False,2014-11-09 22:00:00,2014-11-10 22:00:00,300234061361160,61.82215,61.831,-166.1596,-166.14114,0.0245,0.0258
498,True,2014-11-10 22:00:00,2014-11-11 22:00:00,300234061361160,61.831,61.85098,-166.14114,-166.12979,-0.0005,0.0102
35,True,2014-11-14 05:00:00,2014-11-15 05:00:00,300234010167390,48.32637,48.45265,-5.15015,-5.10496,0.0725,0.4488
581,False,2014-11-15 06:00:00,2014-11-16 06:00:00,300234061502340,17.16073,17.32958,120.30286,120.36108,0.1857,0.0987
582,False,2014-11-16 06:00:00,2014-11-17 06:00:00,300234061502340,17.32958,17.41264,120.36108,120.38284,0.1376,-0.0215
72,False,2014-11-16 08:00:00,2014-11-17 08:00:00,300234011273030,-35.05073,-35.04939,135.5236,135.62497,0.1809,-0.0007
583,False,2014-11-17 06:00:00,2014-11-18 06:00:00,300234061502340,17.41264,17.48679,120.38284,120.33509,0.0126,-0.1695
73,False,2014-11-17 08:00:00,2014-11-18 08:00:00,300234011273030,-35.04939,-35.03406,135.62497,135.5371,0.0374,0.0388
74,False,2014-11-20 06:00:00,2014-11-21 06:00:00,300234011273030,-35.01143,-35.0236,135.48093,135.51422,0.0982,0.0948
75,False,2014-11-21 21:00:00,2014-11-22 21:00:00,300234011273030,-35.03443,-35.00794,135.4826,135.52396,0.1215,0.0642
76,False,2014-11-22 21:00:00,2014-11-23 21:00:00,300234011273030,-35.00794,-35.02162,135.52396,135.54512,0.0225,-0.0918
77,False,2014-11-23 21:00:00,2014-11-24 21:00:00,300234011273030,-35.02162,-35.02051,135.54512,135.64552,0.1206,0.0401
78,False,2014-11-24 21:00:00,2014-11-25 21:00:00,300234011273030,-35.02051,-35.03969,135.64552,135.73508,-0.0756,-0.1504
79,False,2014-11-26 05:00:00,2014-11-27 05:00:00,300234011273030,-35.03955,-35.02567,135.73608,135.50249,0.0188,0.0479
80,False,2014-11-29 09:00:00,2014-11-30 09:00:00,300234011273030,-34.75908,-34.68732,134.79247,134.77364,-0.2557,0.1558
81,False,2014-11-30 09:00:00,2014-12-01 09:00:00,300234011273030,-34.68732,-34.6659,134.77364,134.69354,-0.0741,0.1304
357,False,2014-12-05 07:00:00,2014-12-06 07:00:00,300234060759420,57.26296,57.29289,-152.27055,-152.56522,-0.5605,-0.0206
